Período;ARS;Nº Consultas nos CSP;Nº Consultas CSP (Não Programadas);Nº Consultas CSP (Programadas);Nº Consultas Med CSP (Não Programadas e >= 65)
2017-07-24;ARS Centro;21612.0;12630.0;8982.0;5465.0
2017-07-24;ARS Algarve;4483.0;2452.0;2031.0;991.0
2017-07-25;ARS Norte;48234.0;25123.0;23111.0;9627.0
2017-07-26;ARS Centro;20149.0;11281.0;8868.0;4899.0
2017-07-27;ARS Centro;19836.0;11048.0;8788.0;4838.0
2017-07-29;ARS Norte;2439.0;2331.0;108.0;498.0
2017-07-30;ARS Alentejo;650.0;611.0;39.0;152.0
2017-08-01;ARS Norte;48807.0;26103.0;22704.0;10012.0
2017-08-01;ARS Alentejo;7187.0;4070.0;3117.0;1935.0
2017-08-03;ARS Centro;19356.0;10666.0;8690.0;4640.0
2017-08-03;ARS Alentejo;6422.0;3499.0;2923.0;1621.0
2017-08-05;ARS Lisboa e Vale do Tejo;1690.0;1669.0;21.0;393.0
2017-08-05;ARS Alentejo;738.0;677.0;61.0;216.0
2017-08-06;ARS Alentejo;663.0;629.0;34.0;173.0
2017-08-07;ARS Norte;50643.0;27741.0;22902.0;10577.0
2017-08-07;ARS Lisboa e Vale do Tejo;28217.0;12265.0;15952.0;5006.0
2017-08-07;ARS Algarve;4418.0;2402.0;2016.0;978.0
2017-08-08;ARS Algarve;4374.0;2219.0;2155.0;892.0
2017-08-12;ARS Lisboa e Vale do Tejo;1621.0;1604.0;17.0;417.0
2017-08-14;ARS Centro;16907.0;10566.0;6341.0;4439.0
2017-08-15;ARS Alentejo;761.0;701.0;60.0;209.0
2017-08-17;ARS Centro;20125.0;11806.0;8319.0;5222.0
2017-08-17;ARS Lisboa e Vale do Tejo;24103.0;10185.0;13918.0;4194.0
2017-08-19;ARS Norte;2607.0;2488.0;119.0;525.0
2017-08-20;ARS Lisboa e Vale do Tejo;1170.0;1170.0;0.0;265.0
2017-08-22;ARS Lisboa e Vale do Tejo;26381.0;11032.0;15349.0;4767.0
2017-08-23;ARS Norte;42983.0;22816.0;20167.0;8818.0
2017-08-24;ARS Algarve;4074.0;2041.0;2033.0;898.0
2017-08-27;ARS Lisboa e Vale do Tejo;1141.0;1141.0;0.0;240.0
2017-08-27;ARS Algarve;296.0;238.0;58.0;44.0
2017-08-29;ARS Centro;21415.0;12146.0;9269.0;5443.0
2017-08-29;ARS Lisboa e Vale do Tejo;27352.0;11662.0;15690.0;4814.0
2017-09-01;ARS Centro;15476.0;9330.0;6146.0;3970.0
2017-09-01;ARS Algarve;3318.0;1717.0;1601.0;700.0
2017-09-02;ARS Algarve;388.0;364.0;24.0;81.0
2017-09-04;ARS Lisboa e Vale do Tejo;29462.0;13106.0;16356.0;5448.0
2017-09-04;ARS Alentejo;7760.0;4577.0;3183.0;2191.0
2017-09-07;ARS Lisboa e Vale do Tejo;25740.0;10191.0;15549.0;4089.0
2017-09-09;ARS Lisboa e Vale do Tejo;1703.0;1683.0;20.0;421.0
2017-09-09;ARS Algarve;384.0;354.0;30.0;87.0
2017-09-10;ARS Alentejo;701.0;620.0;81.0;209.0
2017-09-13;ARS Centro;21737.0;12038.0;9699.0;5340.0
2017-09-13;ARS Alentejo;7263.0;3886.0;3377.0;1945.0
2017-09-14;ARS Alentejo;7335.0;3709.0;3626.0;1720.0
2017-09-15;ARS Centro;16525.0;9699.0;6826.0;4093.0
2017-09-17;ARS Algarve;263.0;188.0;75.0;34.0
2017-09-18;ARS Centro;24998.0;14385.0;10613.0;6200.0
2017-09-19;ARS Centro;24379.0;13331.0;11048.0;5855.0
2017-09-22;ARS Algarve;3752.0;1903.0;1849.0;787.0
2017-09-23;ARS Lisboa e Vale do Tejo;2006.0;1976.0;30.0;449.0
